query_id,node_id,source_fresh_id,source_version_id,source_version_number,source_relative_class_path,github_repo,snapshot_commit,snapshot_ref,snapshot_resolution,snapshot_exact_release_claim,java_path,java_mapping_status,java_candidate_count,source_resolvable,high_confidence_mapping
Q6K00347,Q6K00347_N06,FMOD0023,q2lc2PLL,26.101.1,org/betterx/betterend/world/features/terrain/caves/CaveSurfaceCoatFeature.class,https://github.com/quiqueck/BetterEnd,66a303d81f3bc64d066f9c229cb386fa5dfbf082,,DATE_HEURISTIC,False,src/main/java/org/betterx/betterend/world/features/terrain/caves/CaveSurfaceCoatFeature.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00347,Q6K00347_N07,FMOD0023,q2lc2PLL,26.101.1,org/betterx/betterend/world/biome/EndBiomeBuilder.class,https://github.com/quiqueck/BetterEnd,66a303d81f3bc64d066f9c229cb386fa5dfbf082,,DATE_HEURISTIC,False,src/main/java/org/betterx/betterend/world/biome/EndBiomeBuilder.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00348,Q6K00348_N01,FMOD0025,SJkLNQa4,1.0.7,imyarchez/offclient/module/modules/GearTooltipModule.class,,,,NO_GITHUB_REPOSITORY,False,,NO_BASENAME_MATCH,0,False,False
Q6K00348,Q6K00348_N02,FMOD0025,SJkLNQa4,1.0.7,imyarchez/offclient/module/modules/GearTooltipModule$1.class,,,,NO_GITHUB_REPOSITORY,False,,NO_BASENAME_MATCH,0,False,False
Q6K00348,Q6K00348_N04,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/mixin/accessor/GuiAccessor.class,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,,DATE_HEURISTIC,False,common/src/main/java/dev/terminalmc/chatnotify/mixin/accessor/GuiAccessor.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00348,Q6K00348_N05,FMOD0011,yW3wexrH,1.5.0,com/example/coloredelytra/mixin/LoomMenuMixin.class,,,,NO_GITHUB_REPOSITORY,False,,NO_BASENAME_MATCH,0,False,False
Q6K00348,Q6K00348_N07,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/ChatNotify.class,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,,DATE_HEURISTIC,False,common/src/main/java/dev/terminalmc/chatnotify/ChatNotify.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00349,Q6K00349_N02,FMOD0023,q2lc2PLL,26.101.1,org/betterx/betterend/world/features/terrain/StalactiteFeatureConfig.class,https://github.com/quiqueck/BetterEnd,66a303d81f3bc64d066f9c229cb386fa5dfbf082,,DATE_HEURISTIC,False,src/main/java/org/betterx/betterend/world/features/terrain/StalactiteFeatureConfig.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00349,Q6K00349_N03,FMOD0016,vV2etbcV,2.0.0-beta3,net/player005/vegandelightfabric/VeganDelightPlatform.class,https://github.com/SayWhatSayMon/VeganDelight,8cbbf7ba3b44ad3e903a4307795ef5a9af2c0ba3,v2.0.0-beta3,EXACT_NORMALIZED_TAG,True,common/src/main/java/net/player005/vegandelightfabric/VeganDelightPlatform.java,EXACT_PACKAGE_SUFFIX,1,True,True
Q6K00349,Q6K00349_N04,FMOD0060,EiYu5mEW,1.0.2,trnewupgrades/util/UpgradeUtils.class,https://github.com/Xurceo/TechReborn-New-Upgrades,fab959b227c94e780d71fa327d1ac8f3829b0caa,v1.0.2,EXACT_NORMALIZED_TAG,True,src/main/java/trnewupgrades/util/UpgradeUtils.java,EXACT_PACKAGE_SUFFIX,1,True,True
Q6K00349,Q6K00349_N05,FMOD0016,vV2etbcV,2.0.0-beta3,net/player005/vegandelightfabric/VeganItems.class,https://github.com/SayWhatSayMon/VeganDelight,8cbbf7ba3b44ad3e903a4307795ef5a9af2c0ba3,v2.0.0-beta3,EXACT_NORMALIZED_TAG,True,common/src/main/java/net/player005/vegandelightfabric/VeganItems.java,EXACT_PACKAGE_SUFFIX,1,True,True
Q6K00349,Q6K00349_N07,FMOD0023,q2lc2PLL,26.101.1,org/betterx/betterend/registry/features/EndConfiguredLakeFeature.class,https://github.com/quiqueck/BetterEnd,66a303d81f3bc64d066f9c229cb386fa5dfbf082,,DATE_HEURISTIC,False,src/main/java/org/betterx/betterend/registry/features/EndConfiguredLakeFeature.java,EXACT_PACKAGE_SUFFIX,1,True,False
