query_id,parent_count,method,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact
Q0039,2,SINGLE_CONTEXT,0.0,0.0,0.0,0.0,False,False
Q0039,2,MEAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0039,2,MEDIAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0039,2,MEAN_RANK,0.0,0.0,0.0,0.0,False,False
Q0040,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0040,2,SINGLE_STRUCT,0.0,0.0,0.0,0.0,False,False
Q0040,2,SINGLE_CONTEXT,0.0,0.0,0.0,0.0,False,False
Q0040,2,MEAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0040,2,MEDIAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0040,2,MEAN_RANK,0.0,0.0,0.0,0.0,False,False
Q0041,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0041,2,SINGLE_STRUCT,0.0,0.0,0.0,0.0,False,False
Q0041,2,SINGLE_CONTEXT,0.5,0.5,0.5,0.5,False,False
Q0041,2,MEAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0041,2,MEDIAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0041,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0042,2,SINGLE_3GRAM,0.5,0.5,0.5,0.5,False,False
Q0042,2,SINGLE_STRUCT,0.5,0.5,0.5,0.5,False,False
Q0042,2,SINGLE_CONTEXT,0.5,0.5,0.5,0.5,False,False
Q0042,2,MEAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0042,2,MEDIAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0042,2,MEAN_RANK,0.5,0.5,0.5,0.5,False,False
Q0043,2,SINGLE_3GRAM,0.5,0.5,0.5,0.5,False,False
Q0043,2,SINGLE_STRUCT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0043,2,SINGLE_CONTEXT,0.5,0.5,0.5,0.5,False,False
Q0043,2,MEAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0043,2,MEDIAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0043,2,MEAN_RANK,0.5,0.5,0.5,0.5,False,False
Q0044,2,SINGLE_3GRAM,1.0,1.0,1.0,1.0,True,True
Q0044,2,SINGLE_STRUCT,1.0,1.0,1.0,1.0,True,True
Q0044,2,SINGLE_CONTEXT,0.5,0.5,0.5,0.5,False,False
Q0044,2,MEAN_REGRET,1.0,1.0,1.0,1.0,True,True
Q0044,2,MEDIAN_REGRET,1.0,1.0,1.0,1.0,True,True
Q0044,2,MEAN_RANK,1.0,1.0,1.0,1.0,True,True
Q0045,2,SINGLE_3GRAM,0.5,0.5,0.5,0.5,False,False
Q0045,2,SINGLE_STRUCT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0045,2,SINGLE_CONTEXT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0045,2,MEAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0045,2,MEDIAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0045,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0046,2,SINGLE_3GRAM,0.3333333333333333,0.5,0.5,0.5,False,False
Q0046,2,SINGLE_STRUCT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0046,2,SINGLE_CONTEXT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0046,2,MEAN_REGRET,0.8333333333333334,1.0,1.0,1.0,True,False
Q0046,2,MEDIAN_REGRET,0.8333333333333334,1.0,1.0,1.0,True,False
Q0046,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0047,2,SINGLE_3GRAM,0.16666666666666666,0.5,0.5,0.5,False,False
Q0047,2,SINGLE_STRUCT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0047,2,SINGLE_CONTEXT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0047,2,MEAN_REGRET,0.16666666666666666,0.5,0.5,0.5,False,False
Q0047,2,MEDIAN_REGRET,0.16666666666666666,0.5,0.5,0.5,False,False
Q0047,2,MEAN_RANK,0.0,0.0,0.0,0.0,False,False
Q0048,2,SINGLE_3GRAM,0.5,0.5,0.5,0.5,False,False
Q0048,2,SINGLE_STRUCT,0.5,0.5,0.5,0.5,False,False
Q0048,2,SINGLE_CONTEXT,0.5,0.5,0.5,0.5,False,False
Q0048,2,MEAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0048,2,MEDIAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0048,2,MEAN_RANK,0.5,0.5,0.5,0.5,False,False
Q0049,2,SINGLE_3GRAM,0.3333333333333333,0.5,0.5,0.5,False,False
Q0049,2,SINGLE_STRUCT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0049,2,SINGLE_CONTEXT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0049,2,MEAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0049,2,MEDIAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0049,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0050,2,SINGLE_3GRAM,0.3333333333333333,0.5,0.5,0.5,False,False
Q0050,2,SINGLE_STRUCT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0050,2,SINGLE_CONTEXT,0.0,0.0,0.0,0.0,False,False
Q0050,2,MEAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0050,2,MEDIAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0050,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0051,2,SINGLE_3GRAM,0.5,0.5,0.5,0.5,False,False
Q0051,2,SINGLE_STRUCT,0.5,0.5,0.5,0.5,False,False
Q0051,2,SINGLE_CONTEXT,0.5,0.5,0.5,0.5,False,False
Q0051,2,MEAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0051,2,MEDIAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0051,2,MEAN_RANK,0.5,0.5,0.5,0.5,False,False
Q0052,2,SINGLE_3GRAM,0.5,0.5,0.5,0.5,False,False
Q0052,2,SINGLE_STRUCT,0.5,0.5,0.5,0.5,False,False
Q0052,2,SINGLE_CONTEXT,0.5,0.5,0.5,0.5,False,False
Q0052,2,MEAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0052,2,MEDIAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0052,2,MEAN_RANK,0.5,0.5,0.5,0.5,False,False
Q0053,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0053,2,SINGLE_STRUCT,0.0,0.0,0.0,0.0,False,False
Q0053,2,SINGLE_CONTEXT,0.0,0.0,0.0,0.0,False,False
Q0053,2,MEAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0053,2,MEDIAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0053,2,MEAN_RANK,0.0,0.0,0.0,0.0,False,False
Q0054,2,SINGLE_3GRAM,0.3333333333333333,0.5,0.5,0.5,False,False
Q0054,2,SINGLE_STRUCT,0.16666666666666666,0.5,0.5,0.5,False,False
