representation,condition,method,queries,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact
OPCODE_STRUCT,CLEAN,B2_EXACT_GLOBAL,150,0.3018518518518519,0.44777777777777783,0.44777777777777783,0.44777777777777783,0.11333333333333333,0.04666666666666667
OPCODE_STRUCT,CLEAN,B3_HARD_COMPONENT,150,0.44,0.45666666666666667,0.45111111111111113,0.4533333333333333,0.12,0.12
OPCODE_STRUCT,CLEAN,B4_SOFT_GRAPH,150,0.21407407407407406,0.3704444444444444,0.36666666666666664,0.35818518518518516,0.04,0.02666666666666667
OPCODE_STRUCT,DROP30,B1_INDEPENDENT,150,0.2614814814814814,0.27523809523809517,0.5733333333333334,0.3697012987012987,0.0,0.0
OPCODE_STRUCT,DROP30,B2_EXACT_GLOBAL,150,0.3018518518518519,0.44777777777777783,0.44777777777777783,0.44777777777777783,0.11333333333333333,0.04666666666666667
OPCODE_STRUCT,DROP30,B3_HARD_COMPONENT,150,0.34629629629629627,0.35088888888888886,0.5088888888888888,0.4114761904761905,0.0,0.0
OPCODE_STRUCT,DROP30,B4_SOFT_GRAPH,150,0.19407407407407404,0.2731111111111111,0.3877777777777777,0.31387301587301586,0.0,0.0
OPCODE_STRUCT,DROP30_BRIDGE,B1_INDEPENDENT,150,0.2614814814814814,0.27523809523809517,0.5733333333333334,0.3697012987012987,0.0,0.0
OPCODE_STRUCT,DROP30_BRIDGE,B2_EXACT_GLOBAL,150,0.3018518518518519,0.44777777777777783,0.44777777777777783,0.44777777777777783,0.11333333333333333,0.04666666666666667
OPCODE_STRUCT,DROP30_BRIDGE,B3_HARD_COMPONENT,150,0.2662962962962963,0.39777777777777773,0.38888888888888884,0.38276190476190475,0.02666666666666667,0.0
OPCODE_STRUCT,DROP30_BRIDGE,B4_SOFT_GRAPH,150,0.18925925925925924,0.2978888888888889,0.3544444444444444,0.3128306878306878,0.006666666666666667,0.006666666666666667
