modality,threshold,components,true_unknown,true_known,macro_f1,unknown_precision,unknown_recall,unknown_f1,known_f1,accuracy
CODE_BINARY,0.1901041716337204,900,548,352,0.7044444444444444,0.9005681818181818,0.5784671532846716,0.7044444444444444,0.7044444444444444,0.7044444444444444
CODE_BINARY,0.19140625,900,548,352,0.7044444444444444,0.9005681818181818,0.5784671532846716,0.7044444444444444,0.7044444444444444,0.7044444444444444
CODE_BINARY,0.1927083283662796,900,548,352,0.6842557775263243,0.9,0.541970802919708,0.6765375854214123,0.6919739696312364,0.6844444444444444
CODE_BINARY,0.1940104141831398,900,548,352,0.6842557775263243,0.9,0.541970802919708,0.6765375854214123,0.6919739696312364,0.6844444444444444
CODE_BINARY,0.1953125,900,548,352,0.6774655963302753,0.8981481481481481,0.531021897810219,0.6674311926605505,0.6875,0.6777777777777778
CODE_BINARY,0.1966145858168602,900,548,352,0.6774655963302753,0.8981481481481481,0.531021897810219,0.6674311926605505,0.6875,0.6777777777777778
CODE_BINARY,0.1979166716337204,900,548,352,0.6763306099295688,0.8978328173374613,0.5291970802919708,0.6659012629161882,0.6867599569429494,0.6766666666666666
CODE_BINARY,0.19921875,900,548,352,0.6763306099295688,0.8978328173374613,0.5291970802919708,0.6659012629161882,0.6867599569429494,0.6766666666666666
CODE_BINARY,0.2005208283662796,900,548,352,0.6637803067788224,0.8942307692307693,0.5091240875912408,0.6488372093023256,0.6787234042553191,0.6644444444444444
CODE_BINARY,0.2018229141831398,900,548,352,0.6637803067788224,0.8942307692307693,0.5091240875912408,0.6488372093023256,0.6787234042553191,0.6644444444444444
CODE_BINARY,0.203125,900,548,352,0.65324192167653,0.8963210702341137,0.48905109489051096,0.6328217237308146,0.6736621196222454,0.6544444444444445
CODE_BINARY,0.2044270858168602,900,548,352,0.65324192167653,0.8963210702341137,0.48905109489051096,0.6328217237308146,0.6736621196222454,0.6544444444444445
CODE_BINARY,0.2057291716337204,900,548,352,0.6426373364569478,0.8958333333333334,0.4708029197080292,0.6172248803827751,0.6680497925311203,0.6444444444444445
CODE_BINARY,0.20703125,900,548,352,0.6426373364569478,0.8958333333333334,0.4708029197080292,0.6172248803827751,0.6680497925311203,0.6444444444444445
CODE_BINARY,0.2083333283662796,900,548,352,0.6308376132968065,0.8920863309352518,0.45255474452554745,0.6004842615012107,0.6611909650924024,0.6333333333333333
CODE_BINARY,0.2096354141831398,900,548,352,0.6308376132968065,0.8920863309352518,0.45255474452554745,0.6004842615012107,0.6611909650924024,0.6333333333333333
CODE_BINARY,0.2109375,900,548,352,0.6139169472502806,0.8893129770992366,0.4251824817518248,0.5753086419753086,0.6525252525252525,0.6177777777777778
CODE_BINARY,0.2122395858168602,900,548,352,0.6139169472502806,0.8893129770992366,0.4251824817518248,0.5753086419753086,0.6525252525252525,0.6177777777777778
CODE_BINARY,0.2135416716337204,900,548,352,0.6058479649242225,0.8991935483870968,0.40693430656934304,0.5603015075376884,0.6513944223107568,0.6111111111111112
CODE_BINARY,0.21484375,900,548,352,0.6058479649242225,0.8991935483870968,0.40693430656934304,0.5603015075376884,0.6513944223107568,0.6111111111111112
CODE_BINARY,0.2161458283662796,900,548,352,0.5847158327245936,0.8917748917748918,0.3759124087591241,0.5288831835686778,0.6405484818805093,0.5922222222222222
CODE_BINARY,0.2174479141831398,900,548,352,0.5847158327245936,0.8917748917748918,0.3759124087591241,0.5288831835686778,0.6405484818805093,0.5922222222222222
CODE_BINARY,0.21875,900,548,352,0.5770078230811215,0.9074074074074074,0.35766423357664234,0.5130890052356021,0.640926640926641,0.5866666666666667
CODE_BINARY,0.2200520858168602,900,548,352,0.5770078230811215,0.9074074074074074,0.35766423357664234,0.5130890052356021,0.640926640926641,0.5866666666666667
CODE_BINARY,0.2213541716337204,900,548,352,0.5562310648421138,0.9,0.3284671532846715,0.481283422459893,0.6311787072243346,0.5688888888888889
CODE_BINARY,0.22265625,900,548,352,0.5562310648421138,0.9,0.3284671532846715,0.481283422459893,0.6311787072243346,0.5688888888888889
CODE_BINARY,0.2239583283662796,900,548,352,0.5362550839970286,0.8918918918918919,0.3010948905109489,0.45020463847203274,0.6223055295220243,0.5522222222222222
CODE_BINARY,0.2252604141831398,900,548,352,0.5362550839970286,0.8918918918918919,0.3010948905109489,0.45020463847203274,0.6223055295220243,0.5522222222222222
CODE_BINARY,0.2265625,900,548,352,0.5087539579065004,0.89375,0.26094890510948904,0.403954802259887,0.6135531135531136,0.5311111111111111
CODE_BINARY,0.2278645858168602,900,548,352,0.5087539579065004,0.89375,0.26094890510948904,0.403954802259887,0.6135531135531136,0.5311111111111111
CODE_BINARY,0.2291666716337204,900,548,352,0.491660419790105,0.8851351351351351,0.23905109489051096,0.37643678160919547,0.6068840579710145,0.5177777777777778
CODE_BINARY,0.23046875,900,548,352,0.491660419790105,0.8851351351351351,0.23905109489051096,0.37643678160919547,0.6068840579710145,0.5177777777777778
CODE_BINARY,0.2317708283662796,900,548,352,0.46847900288186717,0.8837209302325582,0.20802919708029197,0.33677991137370755,0.6001780943900268,0.5011111111111111
CODE_BINARY,0.2330729141831398,900,548,352,0.46847900288186717,0.8837209302325582,0.20802919708029197,0.33677991137370755,0.6001780943900268,0.5011111111111111
CODE_BINARY,0.234375,900,548,352,0.434866719394626,0.875,0.16605839416058393,0.27914110429447847,0.5905923344947736,0.4777777777777778
CODE_BINARY,0.2356770858168602,900,548,352,0.434866719394626,0.875,0.16605839416058393,0.27914110429447847,0.5905923344947736,0.4777777777777778
CODE_BINARY,0.2369791716337204,900,548,352,0.4213342067911344,0.8901098901098901,0.1478102189781022,0.25352112676056343,0.5891472868217054,0.47
CODE_BINARY,0.23828125,900,548,352,0.4213342067911344,0.8901098901098901,0.1478102189781022,0.25352112676056343,0.5891472868217054,0.47
CODE_BINARY,0.2395833283662796,900,548,352,0.3907508282562569,0.9672131147540983,0.10766423357664233,0.19376026272577995,0.5877413937867338,0.45444444444444443
CODE_BINARY,0.2408854141831398,900,548,352,0.3907508282562569,0.9672131147540983,0.10766423357664233,0.19376026272577995,0.5877413937867338,0.45444444444444443
CODE_BINARY,0.2421875,900,548,352,0.3696662865449442,0.9591836734693877,0.08576642335766424,0.15745393634840874,0.5818786367414797,0.4411111111111111
CODE_BINARY,0.2434895858168602,900,548,352,0.3696662865449442,0.9591836734693877,0.08576642335766424,0.15745393634840874,0.5818786367414797,0.4411111111111111
CODE_BINARY,0.2447916716337204,900,548,352,0.3515731758870049,0.9487179487179487,0.06751824817518248,0.1260647359454855,0.5770816158285242,0.43
CODE_BINARY,0.24609375,900,548,352,0.3515731758870049,0.9487179487179487,0.06751824817518248,0.1260647359454855,0.5770816158285242,0.43
