concurrency,request_index,query_id,success,client_latency_ms,search_ms,reconstruction_ms,server_total_ms,error
1,280,Q6K00526,True,15.8912,12.3122,1.1087,13.432,
1,281,Q6K00420,True,14.9528,11.7621,0.9888,12.7579,
1,282,Q6K00525,True,30.3064,11.0033,0.8853,11.8973,
1,283,Q6K00193,True,13.3137,10.5844,1.1129,11.7031,
1,284,Q6K00358,True,36.0223,13.956,1.1348,15.0998,
1,285,Q6K00225,True,27.4027,10.9001,0.9943,11.9022,
1,286,Q6K00393,True,31.2157,10.5193,0.8727,11.3989,
1,287,Q6K00223,True,32.6509,10.6642,1.0409,11.7123,
1,288,Q6K00295,True,31.1946,12.2082,1.0786,13.2953,
1,289,Q6K00274,True,30.4634,11.3108,1.1386,12.459,
1,290,Q6K00267,True,30.7408,11.2103,1.0752,12.2937,
1,291,Q6K00324,True,14.1995,10.8148,1.1092,11.9323,
1,292,Q6K00226,True,31.3214,10.5691,0.9755,11.5542,
1,293,Q6K00346,True,13.6637,10.7317,1.0171,11.7551,
1,294,Q6K00523,True,13.7811,10.8025,0.8774,11.686,
1,295,Q6K00235,True,35.6695,11.5894,0.98,12.5772,
1,296,Q6K00214,True,32.7522,12.8069,0.9425,13.7582,
1,297,Q6K00481,True,14.0824,11.0702,0.9729,12.0514,
1,298,Q6K00384,True,13.798,11.0924,0.9256,12.0248,
1,299,Q6K00298,True,33.2064,11.0314,1.0218,12.0609,
1,300,Q6K00374,True,13.7829,11.0591,1.0095,12.0752,
4,2,Q6K00326,True,25.132,18.2169,1.031,19.2561,
4,1,Q6K00211,True,27.3781,18.9517,1.0178,19.9779,
4,4,Q6K00183,True,29.2041,20.163,1.0962,21.2673,
4,3,Q6K00261,True,30.4441,21.8611,1.1412,23.0098,
4,5,Q6K00313,True,25.8646,15.2392,1.1911,16.4385,
4,7,Q6K00347,True,22.5993,15.2707,1.0332,16.3102,
4,6,Q6K00267,True,25.1643,17.63,1.0132,18.6488,
4,8,Q6K00342,True,45.2181,18.4283,1.0979,19.5336,
4,10,Q6K00323,True,26.2278,17.8004,0.9986,18.8062,
4,9,Q6K00474,True,27.8192,18.8614,1.0855,19.9532,
4,11,Q6K00398,True,27.1743,21.8797,1.092,22.9775,
4,13,Q6K00514,True,23.1413,16.5841,1.1383,17.7307,
4,14,Q6K00409,True,23.7857,17.7013,0.9714,18.679,
4,15,Q6K00516,True,23.3301,18.2541,0.8684,19.1274,
4,12,Q6K00216,True,46.7035,24.645,0.9772,25.6313,
4,17,Q6K00375,True,29.0253,21.4774,1.6469,23.1352,
4,16,Q6K00394,True,31.5646,25.6796,0.9614,26.6486,
4,18,Q6K00208,True,30.5061,24.8213,1.0375,25.8659,
4,19,Q6K00455,True,30.0837,25.493,1.7616,27.2658,
4,20,Q6K00274,True,25.2034,20.0782,0.983,21.067,
4,22,Q6K00254,True,24.8639,19.9471,0.9542,20.9072,
4,25,Q6K00185,True,17.6187,12.4448,1.2179,13.6749,
4,21,Q6K00412,True,44.7196,15.8256,1.108,16.9402,
4,24,Q6K00303,True,41.8614,19.8995,1.1372,21.0453,
4,23,Q6K00446,True,48.8068,22.1864,1.1037,23.297,
4,26,Q6K00471,True,28.9717,23.2827,0.9637,24.2524,
4,27,Q6K00216,True,38.5002,25.12,1.0217,26.1509,
4,28,Q6K00210,True,32.2785,25.7751,1.0943,26.8817,
4,29,Q6K00521,True,31.7467,24.3034,1.0112,25.3217,
4,30,Q6K00442,True,28.9235,24.9091,0.9671,25.8822,
4,31,Q6K00446,True,27.738,23.9416,1.1026,25.0515,
4,33,Q6K00502,True,22.3274,17.7151,0.8776,18.5994,
4,34,Q6K00533,True,22.3863,18.5746,0.9582,19.5395,
4,32,Q6K00262,True,42.9405,21.1359,1.0652,22.2081,
4,37,Q6K00493,True,26.6136,20.0951,1.1633,21.267,
4,36,Q6K00331,True,27.4544,22.6734,1.1589,23.8387,
4,35,Q6K00451,True,48.3277,23.7439,1.2072,24.9573,
4,38,Q6K00329,True,27.9523,24.0876,1.1183,25.2144,
4,39,Q6K00283,True,23.8819,19.5916,0.9942,20.5928,
4,40,Q6K00532,True,26.1086,22.3763,1.1239,23.5072,
4,42,Q6K00216,True,22.4034,19.4048,1.0055,20.418,
4,43,Q6K00538,True,23.3835,17.4283,1.3624,18.8127,
4,41,Q6K00228,True,41.8212,21.0315,0.968,22.0067,
4,44,Q6K00471,True,43.8247,20.1187,1.0474,21.1744,
4,46,Q6K00480,True,25.0728,21.7458,1.0375,22.789,
4,47,Q6K00481,True,24.4479,21.1019,1.0685,22.1767,
4,45,Q6K00319,True,43.9459,22.9301,1.0884,24.0261,
4,48,Q6K00374,True,26.0854,21.1673,1.0377,22.213,
4,49,Q6K00337,True,26.981,19.9894,1.2355,21.2323,
4,50,Q6K00256,True,25.4531,21.7346,1.1604,22.9006,
4,54,Q6K00366,True,16.0508,13.3838,0.9885,14.3815,
4,51,Q6K00472,True,35.637,13.6983,0.9537,14.6587,
4,52,Q6K00250,True,45.1682,16.4839,1.0475,17.5384,
4,56,Q6K00527,True,25.2627,18.2771,1.1961,19.4829,
4,53,Q6K00532,True,47.5068,21.4136,1.164,22.5858,
4,55,Q6K00522,True,48.2559,25.5571,1.3328,26.9071,
4,58,Q6K00504,True,23.8995,19.188,0.9633,20.1586,
4,57,Q6K00388,True,33.0817,23.1802,1.1768,24.3628,
4,59,Q6K00284,True,28.2195,23.4838,1.0492,24.5392,
4,61,Q6K00357,True,30.7607,20.2894,1.4115,21.7166,
4,62,Q6K00343,True,27.0572,20.6373,1.1066,21.7507,
4,63,Q6K00301,True,26.9914,21.4417,1.0471,22.4963,
4,60,Q6K00192,True,64.9923,43.8866,1.1486,45.0433,
4,64,Q6K00406,True,44.596,40.3112,1.1357,41.4544,
4,66,Q6K00318,True,47.7555,23.7047,1.0787,24.7915,
4,65,Q6K00498,True,49.7638,24.4045,1.1161,25.5286,
4,67,Q6K00425,True,28.5733,24.8805,1.1155,26.0037,
4,69,Q6K00435,True,23.3314,16.5335,0.9869,17.5271,
4,70,Q6K00350,True,24.3152,18.8111,0.9357,19.753,
4,68,Q6K00230,True,30.9552,22.4426,1.2531,23.7032,
4,71,Q6K00230,True,37.8249,16.3048,1.1132,17.4252,
4,73,Q6K00385,True,23.8527,16.6248,0.948,17.583,
4,72,Q6K00227,True,26.6501,18.6469,0.9388,19.5909,
4,74,Q6K00461,True,42.0423,24.9448,1.2036,26.1581,
4,75,Q6K00185,True,27.1796,21.4158,1.2344,22.6576,
4,76,Q6K00258,True,29.2508,22.8331,1.1843,24.0281,
4,77,Q6K00520,True,29.8908,24.1427,1.0418,25.1917,
4,81,Q6K00182,True,25.9299,19.1012,1.4254,20.5377,
4,79,Q6K00340,True,34.5912,23.8505,1.1177,24.9761,
4,80,Q6K00220,True,31.5499,24.1608,1.2508,25.4187,
4,78,Q6K00457,True,48.0345,26.3224,1.5503,27.8817,
4,82,Q6K00534,True,26.8598,19.0483,1.0782,20.1347,
4,85,Q6K00329,True,23.9802,19.5221,1.2309,20.7618,
4,84,Q6K00385,True,52.3787,23.3787,1.5978,24.9911,
4,83,Q6K00290,True,57.2352,28.1547,1.3077,29.4712,
4,87,Q6K00266,True,33.527,29.2177,1.2138,30.4401,
4,86,Q6K00281,True,48.5516,28.0602,1.4164,29.4841,
4,88,Q6K00346,True,30.1591,22.1139,1.2497,23.3727,
4,89,Q6K00355,True,41.9262,23.8129,1.3267,25.1489,
4,92,Q6K00314,True,31.1491,25.8084,1.2085,27.0257,
4,91,Q6K00278,True,46.0345,25.4936,1.1453,26.6503,
4,90,Q6K00435,True,54.0218,26.3587,1.2695,27.6359,
4,93,Q6K00231,True,31.2954,26.8917,1.1174,28.0173,
4,94,Q6K00458,True,34.1012,24.1089,1.0193,25.1403,
4,96,Q6K00279,True,32.9934,24.4864,1.2715,25.7689,
4,95,Q6K00501,True,35.2005,27.1297,1.3695,28.5219,
4,97,Q6K00487,True,31.7357,27.5123,1.2183,28.7405,
4,98,Q6K00452,True,34.2349,23.8339,1.3162,25.1578,
4,100,Q6K00181,True,32.6951,25.2776,1.3305,26.6194,
4,99,Q6K00255,True,34.8187,27.5269,1.3946,28.9383,
4,101,Q6K00245,True,31.838,27.7879,1.2255,29.0219,
4,103,Q6K00491,True,30.2408,23.5253,1.1467,24.681,
4,104,Q6K00537,True,30.0779,24.8762,1.3741,26.2622,
4,105,Q6K00410,True,30.7338,26.0165,1.1281,27.1527,
4,102,Q6K00423,True,41.8635,26.1248,1.1877,27.3233,
4,107,Q6K00294,True,27.7465,22.7833,1.6041,24.3957,
4,106,Q6K00373,True,37.6253,21.6942,1.3264,23.0284,
4,108,Q6K00416,True,29.4398,24.8418,1.1147,25.9646,
4,109,Q6K00398,True,50.5794,26.4927,1.317,27.8214,
4,110,Q6K00263,True,31.775,27.4245,1.132,28.5651,
