fresh_id,frozen_split,version_id,version_number,jar_filename,code_nodes,class_ref_edges,connected_components,largest_component_size,largest_component_rate,hard_code_nodes,strict_code_nodes,max_hard_in_one_component,max_strict_in_one_component,hard_coverage_by_best_component,strict_coverage_by_best_component,best_hard_component_size,best_hard_connector_count,eligible_hard_h3,eligible_hard_h5,eligible_hard_h10,eligible_strict_h3,eligible_strict_h5
FMOD0092,UNKNOWN_HELDOUT,zBm2jqDT,v1.0.1+MC1.17.1,title-fix-1.0.1+MC1.17.1.jar,1,0,1,1,1.0,1,0,1,0,1.0,0.0,1,0,False,False,False,False,False
FMOD0092,UNKNOWN_HELDOUT,Y5pLONUa,v1.0.1+MC1.16.1,title-fix-1.0.1+MC1.16.1.jar,1,0,1,1,1.0,1,0,1,0,1.0,0.0,1,0,False,False,False,False,False
FMOD0093,TEST_KNOWN,vMlxXddL,1.5,i-editor-1.5+26.1x-fabric-quilt.jar,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,False,False,False,False,False
FMOD0093,TEST_KNOWN,x6Y1NWae,1.5,i-editor-1.5+1.21.11-fabric-quilt.jar,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,False,False,False,False,False
FMOD0093,TEST_KNOWN,UNvXNYaW,1.4.3,i-editor-1.4.3+26.2-fabric-quilt.jar,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,False,False,False,False,False
FMOD0094,UNKNOWN_HELDOUT,ue6fHHJQ,11.0.2,JustEnoughProfessions-fabric-26.1.2-11.0.2.jar,12,19,1,12,1.0,1,0,1,0,1.0,0.0,12,11,False,False,False,False,False
FMOD0094,UNKNOWN_HELDOUT,qYA1sbDb,4.0.5,JustEnoughProfessions-fabric-1.21.1-4.0.5.jar,12,21,1,12,1.0,12,0,12,0,1.0,0.0,12,0,True,True,True,False,False
FMOD0094,UNKNOWN_HELDOUT,h5xycz6j,11.0.1,JustEnoughProfessions-fabric-26.1.1-11.0.1.jar,12,19,1,12,1.0,1,0,1,0,1.0,0.0,12,11,False,False,False,False,False
FMOD0095,TEST_KNOWN,iJndWtjh,1.10.1+mod,expanded-mace-enchantings-1.10.jar,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,False,False,False,False,False
FMOD0095,TEST_KNOWN,axPyV73j,1.9.1+mod,expanded-mace-enchantings-1.9.jar,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,False,False,False,False,False
