alpha,lambda,mean_parent_set_f1,mean_k_accuracy,mean_component_accuracy,known_component_accuracy,known_parent_set_f1,known_parent_set_exact,known_k_accuracy,known_k_mae,known_false_unknown_rate,pseudo_component_accuracy,pseudo_parent_set_f1,pseudo_parent_set_exact,pseudo_k_accuracy,pseudo_k_mae,pseudo_unknown_precision,pseudo_unknown_recall,pseudo_unknown_f1,pseudo_unknown_known_macro_f1
0.25,0.7,0.8098015873015874,0.4305555555555555,0.7833333333333333,0.746031746031746,0.7637037037037039,0.17777777777777778,0.2833333333333333,0.8111111111111111,0.21428571428571427,0.8206349206349206,0.8558994708994709,0.5166666666666667,0.5777777777777777,0.5,0.8722580645161291,0.8644501278772379,0.8683365446371226,0.8277300584037119
0.25,0.75,0.8109656084656085,0.4361111111111111,0.7837301587301587,0.746031746031746,0.7647619047619049,0.17777777777777778,0.29444444444444445,0.8,0.21587301587301588,0.8214285714285714,0.857169312169312,0.5166666666666667,0.5777777777777777,0.5,0.8712998712998713,0.8657289002557544,0.868505452212957,0.8275929966579874
0.25,0.8,0.8108201058201059,0.44166666666666665,0.7837301587301587,0.7404761904761905,0.757936507936508,0.17777777777777778,0.3111111111111111,0.7666666666666667,0.22380952380952382,0.8269841269841269,0.8637037037037038,0.5222222222222223,0.5722222222222222,0.4722222222222222,0.8683544303797468,0.8772378516624041,0.8727735368956744,0.8309015363803267
0.25,0.85,0.814510582010582,0.4722222222222222,0.7853174603174604,0.7357142857142858,0.7523015873015872,0.17777777777777778,0.35,0.7222222222222222,0.23174603174603176,0.834920634920635,0.8767195767195767,0.5611111111111111,0.5944444444444444,0.4388888888888889,0.8638613861386139,0.8925831202046036,0.8779874213836478,0.8346926354230066
0.25,0.9,0.8154761904761905,0.47777777777777775,0.7849206349206349,0.7333333333333333,0.7486507936507937,0.17222222222222222,0.35,0.7166666666666667,0.2357142857142857,0.8365079365079365,0.8823015873015871,0.5722222222222222,0.6055555555555555,0.4222222222222222,0.8583638583638583,0.8989769820971867,0.8782011242973142,0.8330069821704198
0.25,0.95,0.8102645502645502,0.4833333333333333,0.7821428571428571,0.7261904761904762,0.7383068783068784,0.17222222222222222,0.36666666666666664,0.6833333333333333,0.24523809523809523,0.8380952380952381,0.8822222222222221,0.5666666666666667,0.6,0.4222222222222222,0.8543922984356197,0.907928388746803,0.8803471791692498,0.8337788817566205
0.25,1.0,0.806468253968254,0.5555555555555556,0.7765873015873015,0.7023809523809523,0.6977513227513228,0.16111111111111112,0.4222222222222222,0.5888888888888889,0.2849206349206349,0.8507936507936508,0.9151851851851851,0.6777777777777778,0.6888888888888889,0.3333333333333333,0.8380520951302378,0.9462915601023018,0.8888888888888888,0.8362573099415205
0.25,1.05,0.8056349206349206,0.5583333333333333,0.7761904761904761,0.7015873015873015,0.6960846560846561,0.16111111111111112,0.42777777777777776,0.5833333333333334,0.2857142857142857,0.8507936507936508,0.9151851851851851,0.6777777777777778,0.6888888888888889,0.3333333333333333,0.8380520951302378,0.9462915601023018,0.8888888888888888,0.8362573099415205
0.25,1.1,0.8048941798941799,0.5555555555555556,0.7753968253968253,0.7,0.6946031746031747,0.16111111111111112,0.4222222222222222,0.5888888888888889,0.2865079365079365,0.8507936507936508,0.9151851851851851,0.6777777777777778,0.6888888888888889,0.3333333333333333,0.8380520951302378,0.9462915601023018,0.8888888888888888,0.8362573099415205
0.25,1.15,0.8040608465608465,0.5583333333333333,0.7746031746031745,0.6984126984126984,0.692936507936508,0.16111111111111112,0.42777777777777776,0.5833333333333334,0.2873015873015873,0.8507936507936508,0.9151851851851851,0.6777777777777778,0.6888888888888889,0.3333333333333333,0.8380520951302378,0.9462915601023018,0.8888888888888888,0.8362573099415205
0.25,1.2,0.8040608465608465,0.5583333333333333,0.7746031746031745,0.6984126984126984,0.692936507936508,0.16111111111111112,0.42777777777777776,0.5833333333333334,0.2873015873015873,0.8507936507936508,0.9151851851851851,0.6777777777777778,0.6888888888888889,0.3333333333333333,0.8380520951302378,0.9462915601023018,0.8888888888888888,0.8362573099415205
0.25,1.25,0.8040608465608465,0.5583333333333333,0.7746031746031745,0.6984126984126984,0.692936507936508,0.16111111111111112,0.42777777777777776,0.5833333333333334,0.2873015873015873,0.8507936507936508,0.9151851851851851,0.6777777777777778,0.6888888888888889,0.3333333333333333,0.8380520951302378,0.9462915601023018,0.8888888888888888,0.8362573099415205
0.25,1.3,0.803531746031746,0.5611111111111111,0.7738095238095237,0.6968253968253968,0.691878306878307,0.16111111111111112,0.43333333333333335,0.5777777777777777,0.28809523809523807,0.8507936507936508,0.9151851851851851,0.6777777777777778,0.6888888888888889,0.3333333333333333,0.8380520951302378,0.9462915601023018,0.8888888888888888,0.8362573099415205
0.25,1.35,0.8021693121693121,0.5666666666666667,0.7722222222222221,0.6936507936507936,0.6891534391534392,0.16111111111111112,0.4444444444444444,0.5666666666666667,0.2896825396825397,0.8507936507936508,0.9151851851851851,0.6777777777777778,0.6888888888888889,0.3333333333333333,0.8380520951302378,0.9462915601023018,0.8888888888888888,0.8362573099415205
0.25,1.4,0.8021693121693121,0.5666666666666667,0.7722222222222221,0.6936507936507936,0.6891534391534392,0.16111111111111112,0.4444444444444444,0.5666666666666667,0.2896825396825397,0.8507936507936508,0.9151851851851851,0.6777777777777778,0.6888888888888889,0.3333333333333333,0.8380520951302378,0.9462915601023018,0.8888888888888888,0.8362573099415205
0.25,1.45,0.8021693121693121,0.5666666666666667,0.7722222222222221,0.6936507936507936,0.6891534391534392,0.16111111111111112,0.4444444444444444,0.5666666666666667,0.2896825396825397,0.8507936507936508,0.9151851851851851,0.6777777777777778,0.6888888888888889,0.3333333333333333,0.8380520951302378,0.9462915601023018,0.8888888888888888,0.8362573099415205
0.25,1.5,0.8021693121693121,0.5666666666666667,0.7722222222222221,0.6936507936507936,0.6891534391534392,0.16111111111111112,0.4444444444444444,0.5666666666666667,0.2896825396825397,0.8507936507936508,0.9151851851851851,0.6777777777777778,0.6888888888888889,0.3333333333333333,0.8380520951302378,0.9462915601023018,0.8888888888888888,0.8362573099415205
0.25,1.55,0.8012433862433862,0.5638888888888889,0.7714285714285714,0.6936507936507936,0.6891534391534392,0.16111111111111112,0.4444444444444444,0.5666666666666667,0.2896825396825397,0.8492063492063492,0.9133333333333332,0.6722222222222223,0.6833333333333333,0.3388888888888889,0.8361581920903954,0.9462915601023018,0.8878224355128974,0.8342980876274921
