gallery_scale_projects,concurrency,request_index,query_id,success,client_latency_ms,gallery_components,search_ms,reconstruction_ms,server_total_ms,error
20,4,54,Q6K00303,True,15.8686,16282,11.4925,0.7026,12.2009,
20,4,55,Q6K00185,True,14.8807,16282,11.6109,0.5941,12.2118,
20,4,57,Q6K00216,True,16.0697,16282,10.641,0.6876,11.3359,
20,4,58,Q6K00210,True,14.3579,16282,10.4465,0.6762,11.1287,
20,4,59,Q6K00521,True,12.6071,16282,9.6538,0.6731,10.3367,
20,4,61,Q6K00446,True,13.4275,16282,7.8183,0.6957,8.5208,
20,4,56,Q6K00471,True,39.351,16282,9.4493,0.6815,10.1369,
20,4,62,Q6K00262,True,12.723,16282,8.9014,0.6594,9.5667,
20,4,63,Q6K00502,True,15.2949,16282,12.2205,0.6661,12.8954,
20,4,64,Q6K00533,True,18.1284,16282,13.0477,0.7144,13.7688,
20,4,60,Q6K00442,True,33.7201,16282,12.381,0.6077,12.9945,
20,4,65,Q6K00451,True,19.081,16282,13.8768,0.8131,14.6952,
20,4,69,Q6K00283,True,9.0686,16282,6.0185,0.6887,6.7136,
20,4,68,Q6K00329,True,9.6572,16282,6.3253,0.6832,7.0141,
20,4,70,Q6K00532,True,14.1888,16282,10.3665,0.6599,11.0339,
20,4,71,Q6K00228,True,13.8654,16282,10.3364,0.6521,10.9937,
20,4,67,Q6K00493,True,32.0481,16282,12.9249,0.6537,13.5914,
20,4,66,Q6K00331,True,36.9081,16282,15.0036,0.8057,15.816,
20,4,73,Q6K00538,True,15.3989,16282,12.1497,0.6261,12.7831,
20,4,72,Q6K00216,True,17.296,16282,13.1974,0.6591,13.8635,
20,4,75,Q6K00319,True,14.4786,16282,11.2337,0.763,12.0033,
20,4,77,Q6K00481,True,14.6958,16282,11.7767,0.607,12.3904,
20,4,76,Q6K00480,True,18.541,16282,14.4963,0.6936,15.1955,
20,4,74,Q6K00471,True,30.2474,16282,12.5576,0.7369,13.3008,
20,4,78,Q6K00374,True,16.5657,16282,12.5838,0.7475,13.3394,
20,4,80,Q6K00256,True,14.3019,16282,11.8588,0.6808,12.5461,
20,4,81,Q6K00472,True,12.7365,16282,8.7968,0.6791,9.482,
20,4,82,Q6K00250,True,13.0216,16282,9.8351,0.6044,10.4452,
20,4,83,Q6K00532,True,13.5762,16282,9.6268,0.6524,10.2869,
20,4,79,Q6K00337,True,32.8432,16282,7.9852,0.6789,8.6694,
20,4,85,Q6K00522,True,12.4201,16282,9.9267,0.5787,10.5112,
20,4,86,Q6K00527,True,16.8657,16282,11.7685,0.6906,12.469,
20,4,88,Q6K00504,True,15.5533,16282,12.0627,0.6412,12.7108,
20,4,87,Q6K00388,True,18.8009,16282,14.3877,0.6695,15.0628,
20,4,84,Q6K00366,True,34.7049,16282,13.1173,0.6064,13.7295,
20,4,89,Q6K00284,True,18.4068,16282,12.2402,0.6456,12.8923,
20,4,90,Q6K00192,True,19.0365,16282,12.2862,0.5926,12.8844,
20,4,92,Q6K00343,True,16.0622,16282,11.1684,0.6304,11.8043,
20,4,91,Q6K00357,True,18.6271,16282,13.5148,0.6582,14.1782,
20,4,94,Q6K00406,True,14.7579,16282,8.3513,0.6343,8.9928,
20,4,95,Q6K00498,True,13.4697,16282,8.5353,0.6641,9.2073,
20,4,96,Q6K00318,True,13.0894,16282,9.1343,0.6176,9.7574,
20,4,93,Q6K00301,True,30.306,16282,6.8867,0.671,7.5637,
20,4,98,Q6K00230,True,13.5993,16282,9.2255,0.6889,9.92,
20,4,97,Q6K00425,True,13.8281,16282,10.6749,0.5743,11.2545,
20,4,100,Q6K00350,True,11.4314,16282,8.3932,0.6704,9.0704,
20,4,101,Q6K00230,True,12.9713,16282,9.3114,0.71,10.0277,
20,4,99,Q6K00435,True,26.9424,16282,9.0586,0.5944,9.6586,
20,4,104,Q6K00461,True,17.2729,16282,11.1911,0.7112,11.9098,
20,4,105,Q6K00185,True,16.8918,16282,11.5262,0.6336,12.166,
20,4,103,Q6K00385,True,20.3478,16282,14.0207,0.5681,14.5939,
20,4,102,Q6K00227,True,32.9253,16282,13.1043,0.6199,13.73,
20,4,107,Q6K00520,True,14.6358,16282,9.5191,0.6632,10.1909,
20,4,109,Q6K00340,True,14.977,16282,10.6135,0.6436,11.2636,
20,4,106,Q6K00258,True,18.3124,16282,13.2786,0.7698,14.0544,
20,4,112,Q6K00534,True,17.8671,16282,9.8361,0.687,10.531,
20,4,110,Q6K00220,True,21.2788,16282,13.5802,0.6278,14.2155,
20,4,111,Q6K00182,True,19.3982,16282,12.2081,0.7351,12.949,
20,4,108,Q6K00457,True,36.6776,16282,14.4446,0.9345,15.3905,
20,4,115,Q6K00329,True,17.5645,16282,11.4389,0.7058,12.1524,
20,4,113,Q6K00290,True,19.3177,16282,13.261,0.5872,13.8542,
