query_id,scenario,k_true,known_true_parent_count,known_true_parents_covered,known_parent_recall,all_known_true_parents_present,candidate_pool
Q11A0074,MU_1K3U,2,1,1,1.0,True,"[""FMOD0069"", ""FMOD0102"", ""FMOD0120"", ""FMOD0119"", ""FMOD0079"", ""FMOD0110"", ""FMOD0005"", ""FMOD0031"", ""FMOD0035"", ""FMOD0036""]"
Q11A0075,MU_1K3U,2,1,1,1.0,True,"[""FMOD0067"", ""FMOD0120"", ""FMOD0035"", ""FMOD0023"", ""FMOD0079"", ""FMOD0005"", ""FMOD0119"", ""FMOD0102"", ""FMOD0036"", ""FMOD0069""]"
Q11A0076,MU_1K3U,2,1,1,1.0,True,"[""FMOD0099"", ""FMOD0035"", ""FMOD0023"", ""FMOD0051"", ""FMOD0120"", ""FMOD0079"", ""FMOD0102"", ""FMOD0110"", ""FMOD0055"", ""FMOD0119""]"
Q11A0077,MU_1K3U,2,1,1,1.0,True,"[""FMOD0050"", ""FMOD0035"", ""FMOD0023"", ""FMOD0055"", ""FMOD0091"", ""FMOD0043"", ""FMOD0011"", ""FMOD0100"", ""FMOD0036"", ""FMOD0119""]"
Q11A0078,MU_1K3U,2,1,1,1.0,True,"[""FMOD0066"", ""FMOD0023"", ""FMOD0102"", ""FMOD0069"", ""FMOD0119"", ""FMOD0035"", ""FMOD0120"", ""FMOD0079"", ""FMOD0110"", ""FMOD0025""]"
Q11A0079,MU_1K3U,2,1,1,1.0,True,"[""FMOD0074"", ""FMOD0015"", ""FMOD0080"", ""FMOD0086"", ""FMOD0102"", ""FMOD0035"", ""FMOD0119"", ""FMOD0069"", ""FMOD0036"", ""FMOD0025""]"
Q11A0080,MU_1K3U,2,1,1,1.0,True,"[""FMOD0050"", ""FMOD0023"", ""FMOD0036"", ""FMOD0077"", ""FMOD0055"", ""FMOD0119"", ""FMOD0102"", ""FMOD0005"", ""FMOD0069"", ""FMOD0035""]"
Q11A0081,MU_1K3U,2,1,1,1.0,True,"[""FMOD0099"", ""FMOD0023"", ""FMOD0035"", ""FMOD0069"", ""FMOD0091"", ""FMOD0079"", ""FMOD0025"", ""FMOD0102"", ""FMOD0055"", ""FMOD0120""]"
Q11A0082,MU_1K3U,2,1,1,1.0,True,"[""FMOD0053"", ""FMOD0023"", ""FMOD0091"", ""FMOD0055"", ""FMOD0051"", ""FMOD0043"", ""FMOD0022"", ""FMOD0040"", ""FMOD0100"", ""FMOD0035""]"
Q11A0083,MU_1K3U,2,1,1,1.0,True,"[""FMOD0035"", ""FMOD0023"", ""FMOD0051"", ""FMOD0119"", ""FMOD0069"", ""FMOD0120"", ""FMOD0102"", ""FMOD0053"", ""FMOD0113"", ""FMOD0055""]"
